time,open,high,low,close,Volume
1738368000,25.168,25.364,25.072,25.263,1627705.4080000001
1738368900,25.265,25.456,25.202,25.236,1929222.7390000001
1738369800,25.228,25.599,25.2,25.568,1519430.6329999999
1738370700,25.566,25.622,25.371,25.39,1806253.8049999999
1738371600,25.39,25.579,25.363,25.52,1047514.8050000001
1738372500,25.517,25.577,25.441,25.577,783275.943
1738373400,25.577,25.78,25.552,25.665,1884332.952
1738374300,25.667,25.736,25.564,25.566,793588.956
1738375200,25.571,25.739,25.473,25.739,1735821.453
1738376100,25.739,25.968,25.689,25.918,3943043.7259999998
1738377000,25.916,25.944,25.737,25.857,1566534.831
1738377900,25.852,25.879,25.727,25.754,1024637.384
1738378800,25.752,25.807,25.628,25.648,1200868.111
1738379700,25.647,25.724,25.574,25.678,769673.776
1738380600,25.67,25.67,25.52,25.588,959825.947
1738381500,25.588,25.677,25.538,25.643,828263.577
1738382400,25.646,25.827,25.616,25.73,1215614.9380000001
1738383300,25.73,25.867,25.669,25.772,621855.068
1738384200,25.771,25.771,25.579,25.592,884789.72
1738385100,25.592,25.603,25.448,25.476,1454606.513
1738386000,25.476,25.662,25.467,25.634,697734.8860000001
1738386900,25.631,25.682,25.591,25.624,371999.258
1738387800,25.623,25.644,25.543,25.639,715955.291
1738388700,25.639,25.752,25.611,25.703,456520.268
1738389600,25.702,25.754,25.607,25.638,502127.398
1738390500,25.638,25.643,25.51,25.603,496840.294
1738391400,25.601,25.619,25.415,25.433,683558.573
1738392300,25.432,25.519,25.366,25.504,989601.177
1738393200,25.503,25.594,25.43,25.543,450730.653
1738394100,25.542,25.542,25.373,25.406,506764.603
1738395000,25.409,25.451,25.285,25.289,848710.328
1738395900,25.29,25.32,25.211,25.253,712362.042
1738396800,25.25,25.338,25.219,25.232,567679.382
1738397700,25.231,25.273,25.028,25.115,4352974.3940000003
1738398600,25.113,25.122,24.994,25.052,1407796.4129999999
1738399500,25.053,25.211,25.017,25.171,719376.436
1738400400,25.171,25.173,25.009,25.014,503821.166
1738401300,25.016,25.045,24.887,24.945,1190853.287
1738402200,24.948,24.963,24.706,24.722,2229019.7579999999
1738403100,24.722,24.734,24.529,24.631,1868359.4580000001
1738404000,24.628,24.935,24.628,24.799,1875869.7279999999
1738404900,24.8,24.979,24.759,24.883,1269777.7409999999
1738405800,24.886,24.929,24.763,24.776,1033475.876
1738406700,24.774,24.842,24.706,24.716,560658.077
1738407600,24.716,24.817,24.659,24.812,1047914.41
1738408500,24.814,24.884,24.715,24.803,552463.743
1738409400,24.803,24.853,24.687,24.691,673444.679
1738410300,24.689,24.8,24.664,24.781,479567.971
1738411200,24.785,24.871,24.708,24.712,811349.317
1738412100,24.708,24.805,24.674,24.794,405132.966
1738413000,24.798,24.931,24.769,24.784,690814.438
1738413900,24.778,24.899,24.763,24.809,721167.77
1738414800,24.808,24.826,24.734,24.791,457558.973
1738415700,24.793,24.838,24.697,24.774,999791.427
1738416600,24.771,24.803,24.701,24.711,787191.877
1738417500,24.71,24.712,24.51,24.518,1956564.2409999999
1738418400,24.521,24.655,24.471,24.529,1258081.956
1738419300,24.529,24.641,24.426,24.609,1130857.2660000001
1738420200,24.61,24.672,24.541,24.579,470808.994
1738421100,24.579,24.581,24.381,24.411,615408.194
1738422000,24.416,24.479,24.322,24.357,1000327.748
1738422900,24.354,24.409,24.256,24.408,988971.024
1738423800,24.406,24.532,24.335,24.521,782756.302
1738424700,24.52,24.537,24.433,24.467,461730.905
1738425600,24.468,24.639,24.401,24.56,872287.3689999999
1738426500,24.558,24.632,24.414,24.587,917767.167
1738427400,24.588,24.611,24.413,24.42,466632.427
