Optuna Metadata
Method,Optuna
Target,Net Profit %
Total Trials,11579
Completed Trials,127
Pruned Trials,11452
Best Trial Number,11288
Best Value,1266.7027
Optimization Time,300m 13s

Fixed Parameters
Parameter Name,Value
stopLongRR,3
stopShortRR,3
trailRRLong,1
trailRRShort,1

MA Type,MA Length,CC L,CC S,St L X,St L LP,St S X,St S LP,St L Max %,St S Max %,St L Max D,St S Max D,Tr L Type,Tr L Len,Tr L Off,Tr S Type,Tr S Len,Tr S Off,Net Profit%,Max DD%,Trades,Score,RoMaD,Sharpe,PF,Ulcer,Recover,Consist
HMA,500,3,6,1.0,3,1.1,2,9.0,10.0,6,2,KAMA,150,-2.5,KAMA,125,0.0,1266.70%,14.61%,122,89.88,86.73,2.73,2.47,3.34,86.73,100.00
DEMA,200,4,2,1.1,3,1.0,3,10.0,9.0,7,6,DEMA,200,-2.5,DEMA,200,1.0,1254.28%,19.81%,156,71.46,63.32,1.46,1.98,3.73,63.32,83.33
HMA,500,2,7,1.0,2,1.3,2,9.0,10.0,6,2,KAMA,175,-2.5,KAMA,125,0.0,1192.44%,15.63%,124,88.39,76.27,2.62,2.35,3.28,76.27,100.00
WMA,50,4,2,1.0,2,1.1,2,10.0,5.0,5,6,ALMA,150,-3.0,ALMA,25,1.5,1129.61%,32.07%,253,46.57,35.23,1.17,1.62,5.87,35.23,100.00
HMA,500,2,7,1.0,2,1.1,2,8.0,3.0,7,2,KAMA,150,-2.5,KAMA,75,0.0,1125.33%,12.70%,124,90.16,88.63,2.26,2.54,3.05,88.63,100.00
HMA,125,4,2,1.0,3,1.1,3,6.0,7.0,7,7,DEMA,200,-2.5,DEMA,200,0.5,1046.06%,21.70%,177,61.77,48.21,1.47,1.70,4.66,48.21,100.00
HMA,500,3,9,1.5,2,1.1,2,9.0,7.0,4,2,WMA,175,-3.0,WMA,150,0.0,1038.88%,16.49%,118,80.20,63.00,1.74,2.47,3.88,63.00,100.00
HMA,125,6,8,1.2,3,1.6,3,10.0,4.0,4,6,DEMA,175,-2.5,DEMA,150,1.0,1008.67%,25.34%,179,58.35,39.80,1.43,1.67,4.64,39.80,100.00
DEMA,50,3,2,1.2,3,1.7,3,4.0,7.0,7,5,DEMA,200,-2.5,DEMA,200,1.0,982.88%,23.48%,159,55.16,41.86,1.03,1.77,3.79,41.86,66.67
HMA,450,2,6,1.2,2,1.4,3,8.0,5.0,6,4,KAMA,175,-2.5,KAMA,125,0.0,955.65%,12.72%,118,90.87,75.12,5.18,2.66,3.34,75.12,100.00
HMA,475,2,7,1.1,2,1.6,2,4.0,3.0,7,2,KAMA,75,-2.5,KAMA,75,0.0,954.45%,17.92%,146,67.28,53.25,1.29,2.34,4.13,53.25,83.33
DEMA,50,5,2,1.2,3,1.0,3,9.0,8.0,6,6,DEMA,200,-2.5,DEMA,175,1.0,907.66%,27.49%,165,43.46,33.01,0.97,1.59,3.85,33.01,66.67
HMA,475,2,7,1.1,2,1.0,3,10.0,5.0,7,2,KAMA,150,-2.5,KAMA,100,0.0,873.86%,36.19%,134,46.42,24.14,1.37,1.97,5.49,24.14,83.33
HMA,475,2,9,1.1,4,1.0,3,9.0,6.0,7,2,KAMA,125,-3.0,KAMA,50,0.0,785.22%,13.96%,114,89.72,56.27,2.60,2.61,3.04,56.27,100.00
DEMA,50,5,4,1.0,3,1.5,3,3.0,6.0,7,5,DEMA,200,-3.0,DEMA,200,1.0,768.65%,17.57%,175,65.28,43.76,1.45,1.82,4.54,43.76,100.00
HMA,500,2,6,1.0,3,1.3,3,10.0,10.0,6,2,KAMA,150,-3.0,KAMA,125,0.0,758.01%,20.27%,115,84.13,37.39,2.43,2.37,3.22,37.39,100.00
VWMA,325,3,4,1.0,2,1.2,2,10.0,3.0,4,3,KAMA,175,-1.5,KAMA,125,1.5,757.22%,31.40%,126,56.06,24.12,1.88,2.01,5.76,24.12,100.00
KAMA,25,6,10,1.0,4,1.2,2,8.0,5.0,5,6,DEMA,175,-3.0,DEMA,150,1.0,728.98%,27.22%,181,36.06,26.78,1.19,1.54,5.40,26.78,83.33
DEMA,225,3,4,1.0,2,1.7,2,10.0,7.0,4,7,DEMA,200,-2.5,DEMA,50,1.5,707.45%,34.16%,190,28.74,20.71,1.11,1.70,5.96,20.71,83.33
DEMA,200,3,2,1.1,2,1.6,3,9.0,6.0,7,4,TMA,75,-3.0,TMA,75,0.0,704.41%,14.84%,174,69.57,47.46,1.42,1.96,3.95,47.46,100.00
HMA,500,4,7,1.1,2,1.0,2,10.0,8.0,5,2,KAMA,175,-2.5,KAMA,125,0.0,694.54%,36.38%,140,38.58,19.09,1.29,1.89,6.59,19.09,100.00
TMA,25,6,4,1.1,2,1.0,3,10.0,7.0,6,7,DEMA,175,-3.0,DEMA,200,0.5,689.96%,27.81%,203,33.23,24.81,1.03,1.55,4.64,24.81,83.33
