Optuna Metadata
Method,Optuna
Target,Net Profit %
Total Trials,11818
Completed Trials,417
Pruned Trials,11401
Best Trial Number,8846
Best Value,10381.4264
Optimization Time,300m 12s

Fixed Parameters
Parameter Name,Value
stopLongRR,3
stopShortRR,3
trailRRLong,1
trailRRShort,1

MA Type,MA Length,CC L,CC S,St L X,St L LP,St S X,St S LP,St L Max %,St S Max %,St L Max D,St S Max D,Tr L Type,Tr L Len,Tr L Off,Tr S Type,Tr S Len,Tr S Off,Net Profit%,Max DD%,Trades,Score,RoMaD,Sharpe,PF,Ulcer,Recover,Consist
ALMA,75,8,5,1.0,2,1.0,3,8.0,4.0,6,6,T3,200,0.0,T3,25,1.5,10381.43%,21.71%,275,89.94,478.29,3.13,2.07,3.62,478.29,100.00
DEMA,75,8,3,1.0,2,1.0,4,7.0,4.0,7,7,T3,200,0.0,T3,25,0.0,5052.12%,28.52%,281,85.02,177.11,2.55,1.92,4.11,177.11,100.00
DEMA,25,9,5,1.2,2,1.0,2,6.0,8.0,7,6,T3,200,0.0,T3,25,0.5,4385.49%,28.61%,355,83.74,153.28,3.10,1.92,4.42,153.28,100.00
DEMA,25,7,2,1.1,2,1.2,4,3.0,9.0,3,6,T3,200,-0.5,T3,25,0.0,4334.40%,22.54%,343,88.50,192.31,1.92,2.10,3.18,192.31,100.00
DEMA,100,5,2,1.0,2,1.5,2,5.0,4.0,3,6,T3,200,0.0,T3,50,0.5,3580.36%,23.30%,285,83.08,153.67,1.58,1.98,3.38,153.67,100.00
DEMA,50,5,3,1.0,2,1.8,2,4.0,4.0,3,6,T3,200,0.0,T3,50,0.0,3504.98%,20.05%,363,75.40,174.84,1.24,1.89,3.63,174.84,100.00
DEMA,75,7,2,1.0,2,1.5,2,5.0,4.0,3,6,T3,200,0.0,T3,25,0.0,3286.10%,18.61%,321,89.78,176.53,3.05,1.92,3.36,176.53,100.00
SMA,25,4,6,1.1,2,1.2,2,6.0,4.0,3,2,T3,200,0.0,T3,75,1.0,3276.44%,18.98%,291,82.55,172.59,1.67,1.77,3.12,172.59,100.00
DEMA,25,8,4,1.1,2,1.1,3,3.0,10.0,4,6,T3,200,-1.0,T3,50,0.0,3256.99%,18.31%,327,89.71,177.85,4.89,1.92,3.50,177.85,100.00
EMA,25,8,4,1.0,2,1.5,2,4.0,6.0,6,6,T3,200,0.0,T3,75,0.0,3077.71%,35.29%,287,78.99,87.20,3.53,1.92,5.46,87.20,100.00
ALMA,50,8,3,1.1,2,1.0,3,6.0,3.0,7,6,T3,200,0.0,T3,25,0.0,2958.45%,22.21%,363,76.76,133.20,2.48,1.63,3.90,133.20,100.00
SMA,25,4,6,1.0,2,1.0,5,10.0,4.0,4,3,T3,175,0.0,T3,100,0.0,2954.45%,27.23%,275,77.03,108.50,1.44,1.88,3.88,108.50,100.00
ALMA,75,5,7,1.0,2,1.0,2,3.0,3.0,4,2,T3,200,0.0,T3,75,0.0,2917.89%,34.10%,311,61.40,85.58,1.35,1.68,4.42,85.58,83.33
DEMA,75,8,3,1.2,2,1.2,3,3.0,5.0,7,5,T3,200,-0.5,T3,25,0.0,2909.61%,30.22%,259,76.63,96.29,1.65,1.72,3.86,96.29,100.00
EMA,25,5,7,1.0,2,1.8,2,3.0,6.0,4,2,T3,200,0.0,T3,50,0.0,2900.58%,21.41%,311,76.47,135.50,1.18,2.01,3.13,135.50,100.00
SMA,25,4,8,1.0,2,1.5,2,7.0,4.0,4,2,T3,175,-0.5,T3,100,0.5,2813.36%,23.82%,233,85.20,118.10,1.71,1.92,3.15,118.10,100.00
DEMA,25,9,4,1.1,2,1.1,3,4.0,8.0,6,6,T3,200,-0.5,T3,25,0.0,2691.21%,23.70%,341,82.76,113.55,1.76,1.93,3.86,113.55,100.00
DEMA,50,5,2,1.0,2,1.7,3,4.0,4.0,4,6,T3,200,0.0,T3,25,0.0,2575.90%,23.14%,352,83.82,111.30,2.68,1.96,4.33,111.30,100.00
SMA,25,4,8,1.0,2,1.1,2,6.0,4.0,4,2,T3,150,0.0,T3,125,0.0,2556.64%,33.39%,293,46.43,76.57,1.21,1.47,6.62,76.57,100.00
SMA,25,4,5,1.0,2,1.0,4,10.0,3.0,5,3,T3,200,-0.5,T3,75,0.0,2524.27%,23.53%,295,83.02,107.27,2.11,1.90,3.93,107.27,100.00
ALMA,75,7,7,1.0,2,1.0,2,3.0,3.0,3,4,T3,200,0.0,T3,100,0.0,2443.04%,43.99%,275,43.71,55.54,1.16,1.57,6.04,55.54,83.33
ALMA,50,5,6,1.0,2,1.3,2,3.0,4.0,3,2,T3,200,0.0,T3,50,0.5,2442.15%,34.31%,347,68.48,71.18,1.75,1.73,4.40,71.18,83.33
TMA,25,8,4,1.1,2,1.7,3,6.0,6.0,4,6,T3,200,0.0,T3,25,0.0,2363.63%,25.73%,331,79.94,91.87,2.39,1.76,4.18,91.87,100.00
ALMA,50,4,6,1.0,2,1.4,3,3.0,3.0,4,2,T3,200,0.0,T3,25,0.5,2336.55%,34.65%,383,59.26,67.43,1.64,1.48,4.55,67.43,100.00
VWMA,25,9,6,1.0,3,1.0,2,5.0,6.0,5,6,T3,200,-0.5,T3,25,0.5,2310.37%,26.46%,293,69.17,87.32,1.45,1.63,3.65,87.32,100.00
TMA,50,8,4,1.0,2,1.4,3,6.0,7.0,3,6,T3,200,0.0,T3,75,0.0,2309.91%,44.53%,263,52.71,51.88,1.65,1.66,7.45,51.88,83.33
ALMA,50,8,4,1.0,2,1.6,2,7.0,4.0,7,6,T3,175,0.0,T3,25,0.5,2176.49%,30.15%,355,68.92,72.19,1.84,1.60,4.19,72.19,100.00
DEMA,100,7,4,1.1,2,1.0,3,3.0,7.0,5,5,T3,200,0.0,T3,25,0.0,2174.89%,29.43%,297,68.72,73.89,1.73,1.70,4.24,73.89,83.33
DEMA,25,9,2,1.1,2,1.2,2,5.0,4.0,3,7,T3,200,-0.5,T3,75,0.0,2169.56%,21.99%,289,83.12,98.67,2.01,2.30,4.12,98.67,100.00
VWMA,50,6,8,1.0,2,1.4,2,3.0,3.0,3,2,T3,200,0.0,T3,50,0.5,2164.23%,40.81%,269,50.02,53.03,1.29,1.66,5.92,53.03,83.33
ALMA,100,8,5,1.0,2,1.0,4,10.0,5.0,5,6,T3,200,0.0,T3,50,1.5,2143.76%,26.01%,241,73.87,82.43,1.68,1.88,4.93,82.43,100.00
VWMA,25,8,5,1.0,3,1.2,2,5.0,3.0,6,5,T3,200,0.0,T3,50,1.0,2135.68%,34.29%,285,80.68,62.28,2.17,2.02,3.79,62.28,100.00
ALMA,100,8,2,1.1,2,1.2,4,7.0,3.0,7,7,T3,200,0.0,T3,50,0.0,2130.58%,22.33%,273,72.10,95.42,1.00,2.03,3.35,95.42,100.00
DEMA,100,7,3,1.0,3,1.0,5,7.0,3.0,6,7,T3,150,0.0,T3,25,0.0,2081.62%,26.13%,277,73.29,79.67,1.63,1.68,3.63,79.67,100.00
DEMA,75,9,5,1.1,2,1.0,3,8.0,3.0,7,7,T3,200,0.0,T3,25,0.0,2080.61%,40.75%,281,63.38,51.06,1.66,1.74,5.29,51.06,100.00
ALMA,50,4,4,1.0,3,1.1,3,4.0,3.0,3,2,T3,200,0.0,T3,25,0.5,2054.16%,25.23%,393,84.06,81.41,3.06,1.89,3.87,81.41,100.00
ALMA,50,9,5,1.0,2,1.5,2,4.0,4.0,6,6,T3,200,0.0,T3,25,0.0,1992.06%,21.26%,325,87.33,93.68,4.32,1.82,3.38,93.68,100.00
T3,50,7,6,1.0,2,1.0,2,3.0,4.0,4,4,T3,200,0.0,T3,100,0.5,1979.91%,25.58%,217,64.38,77.41,1.14,1.76,3.53,77.41,83.33
TMA,25,7,5,1.1,2,1.7,3,3.0,8.0,2,5,T3,200,0.0,T3,25,0.0,1950.63%,22.70%,353,79.30,85.91,5.75,1.72,4.24,85.91,100.00
TMA,25,8,8,1.1,3,1.1,3,6.0,6.0,3,2,T3,200,-0.5,T3,25,1.0,1945.44%,24.30%,293,74.18,80.07,1.66,1.69,3.77,80.07,100.00
VWMA,25,8,6,1.0,2,1.0,2,5.0,6.0,4,5,T3,200,-0.5,T3,25,0.5,1942.63%,37.93%,315,48.51,51.21,1.36,1.51,5.28,51.21,100.00
DEMA,25,8,2,1.0,2,1.2,4,4.0,7.0,4,5,T3,200,0.0,T3,25,0.0,1940.10%,27.11%,369,66.76,71.56,1.22,1.89,4.45,71.56,100.00
SMA,50,3,8,1.1,2,1.4,2,6.0,5.0,3,2,T3,175,0.0,T3,125,0.0,1939.36%,23.40%,235,63.19,82.89,1.25,1.60,3.70,82.89,100.00
ALMA,50,7,4,1.0,3,1.4,2,4.0,3.0,4,3,T3,200,0.0,T3,50,1.0,1938.95%,32.93%,309,66.64,58.88,1.55,1.88,5.50,58.88,100.00
DEMA,75,7,2,1.0,2,1.8,3,3.0,3.0,4,6,T3,200,-0.5,T3,75,0.0,1917.77%,18.25%,244,87.37,105.08,2.55,1.93,3.49,105.08,100.00
ALMA,75,7,2,1.1,2,1.1,3,8.0,3.0,7,7,T3,200,-0.5,T3,75,0.0,1894.64%,28.15%,275,66.80,67.31,1.62,1.66,3.81,67.31,83.33
TMA,25,8,8,1.0,2,1.5,2,6.0,3.0,3,2,T3,175,-1.0,T3,25,0.0,1890.57%,22.08%,311,83.49,85.64,2.66,1.79,3.67,85.64,100.00
DEMA,25,4,7,1.1,2,1.4,2,5.0,5.0,2,2,T3,175,0.0,T3,25,0.0,1880.92%,26.09%,393,79.52,72.08,6.00,1.68,3.51,72.08,100.00
VWMA,25,9,2,1.2,2,1.3,3,5.0,4.0,7,5,T3,200,0.0,T3,25,0.0,1863.04%,21.67%,313,84.89,85.96,2.13,1.87,3.34,85.96,100.00
TMA,50,5,7,1.0,3,1.1,4,7.0,6.0,3,3,T3,150,0.0,T3,25,0.5,1861.08%,28.29%,293,58.88,65.78,1.16,1.80,4.56,65.78,83.33
ALMA,100,9,5,1.0,3,1.0,2,3.0,4.0,4,5,T3,200,0.0,T3,75,0.0,1831.49%,34.92%,261,66.91,52.45,1.52,1.84,4.58,52.45,100.00
ALMA,50,8,5,1.1,3,1.0,3,6.0,4.0,5,7,T3,150,0.0,T3,25,1.0,1772.39%,27.95%,333,57.43,63.42,1.58,1.50,3.91,63.42,83.33
KAMA,25,6,10,1.0,2,1.5,2,5.0,3.0,5,2,T3,200,0.0,T3,75,0.0,1759.72%,19.44%,239,89.53,90.54,2.81,2.00,2.81,90.54,100.00
VWMA,25,8,5,1.0,4,1.0,2,9.0,4.0,5,4,T3,175,0.0,T3,25,1.0,1732.95%,39.40%,313,55.53,43.99,1.78,1.57,4.94,43.99,100.00
ALMA,50,4,5,1.1,2,1.0,4,8.0,4.0,5,3,T3,175,0.0,T3,75,0.0,1731.66%,34.88%,333,64.81,49.65,2.58,1.67,5.15,49.65,100.00
