Optimization Metadata
Method,Optuna
Target,Net Profit %
Total Trials,11693
Completed Trials,26
Pruned Trials,11667
Best Trial Number,11635
Best Value,1924.7492
Optimization Time,300m 13s

Fixed Parameters
Parameter Name,Value
stopLongRR,3
stopShortRR,3
trailRRLong,1
trailRRShort,1

MA Type,MA Length,Close Count Long,Close Count Short,Stop Long X,Stop Long LP,Stop Short X,Stop Short LP,Stop Long Max %,Stop Short Max %,Stop Long Max Days,Stop Short Max Days,Tr L Type,Tr L Len,Tr L Off,Tr S Type,Tr S Len,Tr S Off,Net Profit%,Max DD%,Trades,Score,RoMaD,Sharpe,PF,Ulcer,Recover,Consist
DEMA,100,6,2,1.2,2,1.5,2,6.0,3.0,3,5,T3,200,-0.5,T3,25,0.0,1924.75%,26.85%,283,72.69,71.69,1.74,1.64,4.18,71.69,100.00
DEMA,25,3,8,1.0,3,1.4,2,5.0,4.0,5,3,T3,50,0.0,T3,150,0.0,1909.82%,21.73%,333,88.46,87.89,2.55,1.85,3.69,87.89,100.00
DEMA,50,6,2,1.5,2,1.3,3,5.0,5.0,5,4,T3,200,0.0,T3,50,0.0,1580.46%,19.08%,305,89.62,82.85,2.46,1.99,2.56,82.85,100.00
DEMA,50,2,10,1.6,3,1.0,3,4.0,3.0,5,4,T3,25,0.0,T3,200,0.0,1518.88%,36.95%,309,55.77,41.10,1.37,1.76,4.99,41.10,83.33
ALMA,75,2,6,1.2,2,1.3,3,3.0,6.0,7,4,T3,175,-0.5,T3,100,0.0,1293.66%,32.23%,257,50.38,40.14,1.32,1.60,4.56,40.14,83.33
ALMA,100,3,4,1.2,2,1.7,3,6.0,4.0,6,3,T3,200,-0.5,T3,100,0.0,1170.27%,40.95%,233,50.96,28.57,1.47,1.79,5.93,28.57,83.33
T3,50,3,5,1.0,3,1.1,2,6.0,5.0,7,3,T3,200,0.0,T3,100,0.5,1145.95%,20.79%,211,78.08,55.11,1.58,1.92,3.37,55.11,100.00
DEMA,25,2,10,1.4,3,1.2,2,4.0,3.0,5,3,T3,75,-0.5,T3,200,0.0,968.76%,31.81%,269,68.85,30.46,1.78,1.82,4.43,30.46,100.00
DEMA,50,2,8,1.2,3,1.7,3,4.0,4.0,4,3,T3,50,-0.5,T3,200,0.0,929.68%,20.09%,287,80.58,46.27,2.71,1.77,3.25,46.27,100.00
DEMA,50,4,8,1.2,3,1.1,3,3.0,3.0,5,2,T3,75,-0.5,T3,175,0.0,913.64%,48.29%,289,14.62,18.92,0.97,1.43,7.93,18.92,66.67
DEMA,25,3,10,1.1,2,1.2,2,3.0,3.0,4,3,TMA,100,-0.5,TMA,150,0.5,864.83%,23.05%,271,60.38,37.51,1.23,1.73,4.15,37.51,100.00
DEMA,100,8,8,1.6,2,1.0,2,6.0,6.0,2,4,VWMA,75,0.0,VWMA,125,0.0,856.05%,18.00%,233,66.54,47.57,1.58,1.81,4.47,47.57,83.33
DEMA,25,3,9,1.1,3,1.1,2,3.0,4.0,3,3,TMA,25,-0.5,TMA,200,0.0,759.21%,42.97%,395,38.27,17.67,2.09,1.54,6.98,17.67,100.00
ALMA,25,3,6,1.1,3,1.1,2,4.0,5.0,6,4,T3,125,0.0,T3,100,0.0,727.79%,29.59%,311,40.00,24.60,1.20,1.52,4.15,24.60,83.33
DEMA,25,2,10,1.0,3,1.2,2,5.0,3.0,5,2,T3,50,-0.5,T3,200,0.0,724.68%,27.41%,337,60.96,26.44,1.91,1.60,4.15,26.44,100.00
ALMA,75,3,6,1.3,2,1.4,3,4.0,4.0,6,3,T3,125,0.0,T3,100,0.5,700.71%,25.88%,239,42.12,27.07,1.36,1.52,4.60,27.07,83.33
DEMA,50,4,10,1.0,2,1.1,2,6.0,3.0,3,4,TMA,75,0.0,TMA,200,0.0,680.87%,38.86%,323,15.58,17.52,0.97,1.49,7.10,17.52,83.33
DEMA,100,5,7,1.0,2,1.6,2,7.0,3.0,3,4,VWMA,75,0.0,VWMA,175,0.0,678.74%,28.64%,259,33.27,23.70,0.88,1.60,5.09,23.70,100.00
T3,50,5,6,1.2,2,1.3,3,6.0,3.0,3,4,T3,125,-0.5,T3,100,0.0,678.64%,27.76%,223,30.77,24.45,0.89,1.55,4.62,24.45,83.33
DEMA,100,5,10,1.2,2,1.4,2,5.0,3.0,7,7,TMA,100,0.0,TMA,200,1.0,635.41%,25.92%,211,39.23,24.51,1.22,1.69,5.15,24.51,83.33
VWMA,50,3,10,1.3,2,1.1,4,4.0,4.0,5,2,T3,50,-0.5,T3,150,0.5,629.20%,38.38%,255,23.65,16.39,1.62,1.46,6.31,16.39,83.33
DEMA,50,5,10,1.1,2,1.4,2,5.0,3.0,4,5,TMA,75,0.0,TMA,200,1.0,572.94%,28.55%,261,49.81,20.07,1.79,1.63,4.69,20.07,100.00
T3,25,3,9,1.1,2,1.4,2,6.0,4.0,4,4,TMA,75,0.0,TMA,150,0.5,561.34%,37.53%,307,11.92,14.96,1.04,1.43,6.43,14.96,83.33
DEMA,25,2,7,1.0,2,1.1,2,4.0,3.0,5,3,T3,50,0.0,T3,100,0.5,556.45%,29.79%,411,17.31,18.68,0.94,1.26,4.70,18.68,66.67
DEMA,100,3,5,1.4,3,1.1,3,3.0,6.0,4,3,T3,25,-1.0,T3,175,0.0,524.40%,48.10%,289,4.23,10.90,0.92,1.41,7.84,10.90,83.33
T3,25,8,9,1.5,2,1.4,2,5.0,8.0,2,3,VWMA,75,-1.0,VWMA,125,0.0,519.46%,34.09%,265,29.81,15.24,1.70,1.51,5.98,15.24,100.00
