Optuna Metadata
Method,Optuna
Target,Net Profit %
Total Trials,647
Completed Trials,96
Pruned Trials,551
Best Trial Number,573
Best Value,523.7438
Optimization Time,10m 6s

Fixed Parameters
Parameter Name,Value
stopLongRR,3
stopShortRR,3
stopLongMaxDays,6
stopShortMaxDays,6
trailRRLong,1
trailRRShort,1

MA Type,MA Length,CC L,CC S,St L X,St L LP,St S X,St S LP,St L Max %,St S Max %,Tr L Type,Tr L Len,Tr L Off,Tr S Type,Tr S Len,Tr S Off,Net Profit%,Max DD%,Trades,Score,RoMaD,Sharpe,PF,Ulcer,Recover,Consist
SMA,275,10,5,2.0,2,1.0,2,3.0,7.0,T3,75,-0.5,T3,125,0.0,523.74%,27.96%,110,53.96,18.73,0.91,2.03,5.30,18.73,83.33
SMA,275,9,5,1.9,3,1.1,2,5.0,6.0,T3,75,-2.0,T3,125,1.5,467.93%,27.15%,116,67.29,17.24,1.53,1.98,5.26,17.24,100.00
SMA,250,9,5,1.8,3,1.3,2,5.0,7.0,T3,75,-2.0,T3,125,1.0,459.61%,27.98%,120,67.34,16.43,1.68,1.97,5.11,16.43,100.00
SMA,275,10,5,1.9,3,1.1,2,4.0,7.0,T3,75,-2.0,T3,125,0.5,458.03%,29.07%,110,53.65,15.76,1.11,1.95,5.85,15.76,100.00
SMA,300,10,9,2.2,3,1.0,2,8.0,6.0,T3,100,-0.5,T3,100,2.5,396.29%,22.59%,100,84.90,17.54,2.97,2.38,4.24,17.54,100.00
SMA,300,10,6,2.0,3,1.1,2,3.0,9.0,T3,75,-1.0,T3,100,0.5,377.02%,18.69%,100,68.28,20.18,1.04,2.19,3.77,20.18,83.33
SMA,300,10,6,1.7,4,1.1,2,4.0,4.0,T3,25,-3.0,T3,125,1.5,376.91%,22.09%,100,77.55,17.06,1.56,2.15,4.11,17.06,100.00
SMA,325,8,4,1.5,3,1.0,2,5.0,6.0,T3,100,-2.0,T3,125,0.0,375.33%,20.99%,112,66.46,17.88,1.35,1.94,4.11,17.88,83.33
SMA,325,7,7,2.0,3,1.0,2,10.0,7.0,EMA,50,-2.0,EMA,175,1.0,365.25%,20.89%,102,56.25,17.48,1.25,1.84,4.61,17.48,83.33
SMA,350,9,6,1.7,3,1.0,3,4.0,4.0,T3,25,-3.0,T3,150,0.0,354.56%,18.20%,94,86.04,19.48,1.93,2.20,4.00,19.48,100.00
SMA,300,9,5,1.6,4,2.0,2,10.0,8.0,T3,150,-2.0,T3,100,0.5,351.37%,18.22%,108,77.97,19.29,1.91,2.02,4.42,19.29,100.00
SMA,275,10,4,2.0,2,1.0,2,5.0,6.0,T3,75,-2.0,T3,125,1.0,347.32%,27.02%,110,58.96,12.85,1.72,1.87,5.59,12.85,100.00
SMA,350,8,5,2.8,2,1.1,2,3.0,9.0,T3,75,-2.0,T3,150,0.0,325.92%,16.16%,102,91.77,20.17,3.84,2.15,3.29,20.17,100.00
SMA,250,8,5,2.2,3,1.0,2,5.0,10.0,T3,50,-1.5,T3,125,1.5,324.76%,30.43%,124,35.00,10.67,1.13,1.76,4.94,10.67,83.33
SMA,300,10,10,1.8,4,1.2,3,10.0,7.0,T3,75,-2.0,T3,150,2.0,318.54%,21.34%,98,76.98,14.93,2.21,2.11,4.30,14.93,100.00
